created_at,entry_id_pzem,Voltage solar panel,Current Solar panel,Power Solar Panel,Voltage Battery,Current Battery,Power Battery,Voltage Load,Current Load,latitude_pzem,longitude_pzem,elevation_pzem,status_pzem,entry_id_weather,temperature,Humidity,light intensity,irradiance,voltage irradiance,current irradiance,latitude_weather,longitude_weather,elevation_weather,status_weather,date
2025-05-21 06:00:00+07:00,8033.5,9.39,0.02,0.1,25.59,0.03,0.7,,,,,,,13317.5,20.6,73.45,15.833335,0.0008749999999999,0.01,0.1,,,,,2025-05-21
2025-05-21 06:02:00+07:00,8035.5,14.815,0.02,0.25,25.59,0.035,0.85,,,,,,,13319.5,20.6,73.69999999999999,24.16667,0.00105,0.012,0.1,,,,,2025-05-21
2025-05-21 06:04:00+07:00,8037.5,19.305,0.02,0.35,25.59,0.035,0.85,,,,,,,13321.5,20.6,73.85,37.499995,0.00053,0.012,0.05,,,,,2025-05-21
2025-05-21 06:06:00+07:00,8039.5,23.885,0.03,0.6499999999999999,25.59,0.03,0.7,,,,,,,13323.5,20.7,73.69999999999999,59.58333,0.00123,0.014,0.1,,,,,2025-05-21
2025-05-21 06:08:00+07:00,8041.5,25.855,0.02,0.6,25.59,0.035,0.85,,,,,,,13325.5,20.7,73.55,87.5,0.00528,0.02,0.3,,,,,2025-05-21
2025-05-21 06:10:00+07:00,8043.5,26.18,0.03,0.75,25.59,0.03,0.7,,,,,,,13327.5,20.75,73.45,115.41666,0.005275,0.024,0.25,,,,,2025-05-21
2025-05-21 06:12:00+07:00,8045.5,26.35,0.02,0.5,25.59,0.03,0.7,,,,,,,13329.5,20.8,73.45,142.08333,0.003515,0.026,0.15,,,,,2025-05-21
2025-05-21 06:14:00+07:00,8047.5,26.630000000000003,0.02,0.75,25.59,0.03,0.7,,,,,,,13331.5,20.8,73.5,175.416665,0.01021,0.026,0.45,,,,,2025-05-21
2025-05-21 06:16:00+07:00,8049.5,26.985,0.01,0.5,25.59,0.02,0.5,,,,,,,13333.5,20.9,73.45,217.08333,0.01549,0.032,0.55,,,,,2025-05-21
2025-05-21 06:18:00+07:00,8051.5,27.425,0.01,0.25,25.59,0.02,0.5,,,,,,,13335.5,20.9,73.3,268.33332,0.026735,0.038,0.8,,,,,2025-05-21
2025-05-21 06:26:00+07:00,8059.5,29.25,0.02,0.5,25.59,0.0,0.0,,,,,,,13343.5,21.15,73.69999999999999,642.916655,0.147895,0.08,2.1,,,,,2025-05-21
2025-05-21 06:28:00+07:00,8061.5,29.56,0.03,0.8,25.555,0.21,5.35,,,,,,,13345.5,21.2,73.6,797.4999700000001,0.2073999999999999,0.1,2.35,,,,,2025-05-21
2025-05-21 06:30:00+07:00,8063.5,29.9,0.045,1.25,25.585,0.035,0.85,,,,,,,13347.5,21.3,73.6,967.49997,0.2821249999999999,0.1139999999999999,2.8,,,,,2025-05-21
2025-05-21 06:32:00+07:00,8065.5,30.09,0.05,1.5,25.555,0.235,5.95,,,,,,,13349.5,21.4,73.5,1177.9166249999998,0.4256649999999999,0.14,3.45,,,,,2025-05-21
2025-05-21 06:34:00+07:00,8067.5,30.405,0.08,2.1,25.59,0.065,1.6,,,,,,,13351.5,21.4,73.3,1464.99994,0.631335,0.1699999999999999,4.2,,,,,2025-05-21
2025-05-21 06:36:00+07:00,8069.5,30.615,0.105,3.15,25.555,0.235,5.95,,,,,,,13353.5,21.5,73.1,1841.66663,1.03906,0.214,5.5,,,,,2025-05-21
2025-05-21 06:38:00+07:00,8071.5,30.88,0.13,3.95,25.595,0.1149999999999999,2.9,,,,,,,13355.5,21.65,73.1,2239.166625,1.49006,0.252,6.7,,,,,2025-05-21
2025-05-21 06:40:00+07:00,8073.5,30.98,0.155,4.6,25.565,0.22,5.55,,,,,,,13357.5,21.75,73.0,2620.83325,1.970255,0.294,7.6,,,,,2025-05-21
2025-05-21 06:42:00+07:00,8075.5,31.09,0.175,5.4,25.565,0.21,5.3,,,,,,,13359.5,21.9,72.80000000000001,3004.166625,2.545385,0.3339999999999999,8.65,,,,,2025-05-21
2025-05-21 06:44:00+07:00,8077.5,31.21,0.195,6.050000000000001,25.565,0.255,6.449999999999999,,,,,,,13361.5,22.05,72.5,3388.749875,3.19653,0.374,9.7,,,,,2025-05-21
2025-05-21 06:46:00+07:00,8079.5,31.315,0.225,7.0,25.575,0.185,4.65,,,,,,,13363.5,22.25,72.2,3747.499875,3.975715,0.414,10.9,,,,,2025-05-21
2025-05-21 06:48:00+07:00,8081.5,31.355,0.245,7.65,25.575000000000003,0.25,6.3,,,,,,,13365.5,22.35,72.15,4049.58325,4.61412,0.444,11.8,,,,,2025-05-21
2025-05-21 06:50:00+07:00,8083.5,31.395,0.24,7.5,25.59,0.17,4.3,,,,,,,13367.5,22.55,71.95,4149.166505,4.594215,0.444,11.75,,,,,2025-05-21
2025-05-21 06:52:00+07:00,8085.5,31.48,0.26,8.0,25.585,0.255,6.449999999999999,,,,,,,13369.5,22.65,71.75,4306.249755000001,4.695955,0.45,11.85,,,,,2025-05-21
2025-05-21 06:54:00+07:00,8087.5,31.52,0.255,7.949999999999999,25.585,0.25,6.35,,,,,,,13371.5,22.85,71.6,4449.999755000001,4.6769300000000005,0.452,11.75,,,,,2025-05-21
2025-05-21 06:56:00+07:00,8089.5,31.525,0.245,7.65,25.605,0.15,3.75,,,,,,,13373.5,23.05,71.45,4457.916505,4.494115,0.438,11.65,,,,,2025-05-21
2025-05-21 06:58:00+07:00,8091.5,31.53,0.25,7.8,25.605,0.215,5.449999999999999,,,,,,,13375.5,23.25,71.85,4502.5,4.28031,0.434,11.2,,,,,2025-05-21
2025-05-21 07:00:00+07:00,8093.5,31.565,0.25,7.7,25.61,0.165,4.15,,,,,,,13377.5,23.45,71.35,4596.25,4.397114999999999,0.438,11.4,,,,,2025-05-21
2025-05-21 07:02:00+07:00,8095.5,31.585,0.25,7.550000000000001,25.61,0.17,4.3,,,,,,,13379.5,23.65,71.5,4685.83325,4.3588000000000005,0.44,11.25,,,,,2025-05-21
2025-05-21 07:04:00+07:00,8097.5,31.59,0.25,7.65,25.61,0.21,5.449999999999999,,,,,,,13381.5,23.85,72.0,4748.33325,4.3589,0.44,11.25,,,,,2025-05-21
2025-05-21 07:06:00+07:00,8099.5,31.6,0.25,7.85,25.62,0.1649999999999999,4.199999999999999,,,,,,,13383.5,24.05,71.25,4819.999755000001,4.359295,0.442,11.2,,,,,2025-05-21
2025-05-21 07:08:00+07:00,8101.5,31.61,0.255,8.0,25.6,0.25,6.35,,,,,,,13385.5,24.25,70.95,4944.58301,4.65672,0.452,11.7,,,,,2025-05-21
2025-05-21 07:10:00+07:00,8103.5,31.64,0.265,8.35,25.605,0.22,5.6,,,,,,,13387.5,24.4,70.7,5059.58325,4.7590900000000005,0.458,11.8,,,,,2025-05-21
